ShortIdentifier; Name
Academic_Skills_in_Computer_Science;Academic Skills in Computer Science
Academic_Writing_and_Presenting;Academic Writing and Presenting
Advanced_Logic;Advanced Logic
Advanced_Logics:_Model_Checking;Advanced Logics: Model Checking
Advanced_Problem_Solving_and_Search;Advanced Problem Solving and Search
Advanced_Query_Processing_in_Database_Systems;Advanced Query Processing in Database Systems
Advanced_User_Interfaces;Advanced User Interfaces 
Akustik;Akustik
Algebraische_Strukturen_für_Ba-Math,_Funktionen_und_Relationen;Algebraische Strukturen: Diskrete Strukturen
Algebraische_Strukturen_für_Ba-Math,_Ordnungs-_und_Verbandstheorie;Algebraische Strukturen: Methoden der angewandten Algebra
Algebraische_Strukturen:_Diskrete_Strukturen;Algebraische Strukturen für Ba-Math, Funktionen und Relationen
Algebraische_Strukturen:_Methoden_der_angewandten_Algebra;Algebraische Strukturen für Ba-Math, Ordnungs- und Verbandstheorie
Algorithmen_und_Datenstrukturen;Algorithmen und Datenstrukturen
Algorithmic_Bioinformatics;Algorithmic Bioinformatics
Algorithmic_Game_Theory; Algorithmic Game Theory
Allgemeine_Genetik_II;Allgemeine Genetik II
Amtliches_Vermessungswesen:_Raumbezug;Amtliches Vermessungswesen: Raumbezug
Analyse_eines_Forschungsthemas_in_Datenschutz_und_Datensicherheit;Analyse eines Forschungsthemas in Datenschutz und Datensicherheit
Angewandte_Datenanalyse_und_Modellbildung;Angewandte Datenanalyse und Modellbildung
Angewandte_Geodäsie;Angewandte Geodäsie
Angewandte_Kognitionsforschung;Angewandte Kognitionsforschung
Angewandte_Personalpsychologie;Angewandte Personalpsychologie
Angewandte_Sotware-Verifikation_mit_einem_interaktiven_Theorembeweiser;Angewandte Sotware-Verifikation mit einem interaktiven Theorembeweiser
Angewandte_Zeitreihenanalyse;Angewandte Zeitreihenanalyse 
Anonyme_und_unbeobachtbare_Kommunikation;Anonyme und unbeobachtbare Kommunikation 
Anwendersysteme;Anwendersysteme
Anwendungsforschung_Datenschutz_und_Datensicherheit_-_Praktika_und_Projektarbeiten;Anwendungsforschung Datenschutz und Datensicherheit - Praktika und Projektarbeiten
Anwendungsforschung_Formale_Methoden_(Praktika_und_Projektarbeiten);Anwendungsforschung Formale Methoden (Praktika und Projektarbeiten)
